match_id,balls_per_over,teams,innings,player,bowler,overs,maidens,runs,wickets,extraballs,noballs,wides,hat_trick
20060216_00005_Aucklnd,6,1,1,5,"Smith, DR {b1983-4-12}",3,0,9,2,2,0,0,0
20060216_00005_Aucklnd,6,1,1,6,"Gayle, CH {b1979-9-21}",4,0,22,2,0,0,0,0
20060216_00005_Aucklnd,6,2,1,1,"Franklin, JEC {b1980-11-7}",4,0,21,0,0,0,1,0
20060216_00005_Aucklnd,6,2,1,2,"Bond, SE {b1975-6-7}",4,0,15,2,0,1,1,0
20060216_00005_Aucklnd,6,2,1,3,"Styris, SB {b1975-7-10}",4,0,33,2,0,0,0,0
20060216_00005_Aucklnd,6,2,1,4,"Cairns, CL {b1970-6-13}",4,0,24,0,0,0,0,0
20060216_00005_Aucklnd,6,2,1,5,"Patel, JS {b1980-5-7}",4,0,27,1,0,0,0,0
20060224_00006_Wandrer,6,1,1,1,"Ntini, M {b1977-7-6}",3,0,44,0,0,0,1,0
20060224_00006_Wandrer,6,1,1,2,"Hall, AJ {b1975-7-31}",4,0,22,3,0,0,1,0
20060224_00006_Wandrer,6,1,1,3,"Telemachus, R {b1973-3-27}",4,0,40,1,0,0,3,0
20060224_00006_Wandrer,6,1,1,4,"van der Wath, JJ {b1978-1-10}",4,0,40,1,0,0,0,0
20060224_00006_Wandrer,6,1,1,5,"Smith, GC {b1981-2-1}",2,0,21,0,0,0,0,0
20060224_00006_Wandrer,6,1,1,6,"Peterson, RJ {b1979-8-4}",3,0,29,2,0,0,0,0
20060224_00006_Wandrer,6,2,1,1,"Lee, B {b1976-11-8}",3,0,15,0,0,0,0,0
20060224_00006_Wandrer,6,2,1,2,"Bracken, NW {b1977-9-12}",4,0,44,1,0,0,2,0
20060224_00006_Wandrer,6,2,1,3,"Lewis, ML {b1974-6-24}",4,0,31,2,0,0,0,0
20060224_00006_Wandrer,6,2,1,4,"Clark, SR {b1975-9-28}",4,0,25,0,0,0,0,0
20060224_00006_Wandrer,6,2,1,5,"Watson, SR {b1981-6-17}",3,0,35,1,0,0,1,0
20060224_00006_Wandrer,6,2,1,6,"Hogg, GB {b1971-2-6}",2,0,38,0,0,0,1,0
20060615_00007_RoseBwl,6,1,1,1,"Perera, PDRL {b1977-4-6}",3,0,28,0,0,0,2,0
20060615_00007_RoseBwl,6,1,1,2,"Malinga, SL {b1983-9-4}",3,0,25,0,0,0,1,0
20060615_00007_RoseBwl,6,1,1,3,"Fernando, CRD {b1979-7-19}",4,0,22,1,0,0,0,0
20060615_00007_RoseBwl,6,1,1,4,"Maharoof, MF {b1984-9-7}",4,0,30,0,0,1,1,0
20060615_00007_RoseBwl,6,1,1,5,"Jayasuriya, ST {b1969-6-30}",4,0,32,2,0,0,0,0
20060615_00007_RoseBwl,6,1,1,6,"Dilshan, TM {b1976-10-14}",2,0,18,1,0,0,0,0
20060615_00007_RoseBwl,6,2,1,1,"Bresnan, TT {b1985-2-28}",2,0,20,0,0,0,3,0
20060615_00007_RoseBwl,6,2,1,2,"Harmison, SJ {b1978-10-23}",4,0,29,0,0,0,2,0
20060615_00007_RoseBwl,6,2,1,3,"Mahmood, SI {b1981-12-21}",4,0,34,1,0,2,0,0
