8;8
14;10
25;15
15;22
10;16
15;10
12;13
14;17
22;12
17;21
18;18
13;10
16;11
18;19
24;18
12;20
22;11
19;26
18;15
23;17
20;12
26;22
13;13
16;16
15;17
28;14
23;18
28;19
14;14
14;15
23;16
17;28
17;18
19;23
25;17
22;15
16;20
19;16
17;23
14;16
20;21
25;15
27;22
19;30
32;18
27;15
17;17
20;24
29;22
23;26
34;34
23;19
24;23
17;27
18;25
20;25
34;24
23;17
25;26
27;16
28;20
25;36
27;22
21;25
28;22
29;26
18;38
23;25
26;39
29;29
30;26
41;35
30;27
20;26
26;37
32;33
28;25
31;30
20;41
20;28
23;28
28;27
31;34
32;30
30;28
20;27
29;30
25;30
23;32
34;27
27;35
32;33
41;31
24;28
25;30
28;24
29;35
36;46
35;25
24;39
25;39
33;42
30;28
40;30
43;29
29;34
44;37
36;33
40;36
32;30
43;40
38;42
31;41
38;30
30;42
42;32
31;40
35;39
33;29
38;32
40;36
39;32
42;33
42;29
40;43
40;39
41;37
32;32
42;44
35;32
37;29
32;37
55;48
34;33
30;37
37;44
39;43
39;35
42;42
37;44
56;34
40;44
50;44
33;34
35;58
36;48
44;45
37;36
34;43
38;36
46;46
39;36
37;43
48;42
39;40
35;38
39;52
42;50
38;42
47;45
44;52
49;61
41;49
39;33
39;52
41;44
44;46
49;43
33;41
65;46
37;54
56;45
55;51
40;40
41;40
55;47
45;46
43;45
46;37
44;38
48;51
45;51
52;43
47;44
38;47
69;53
57;49
46;62
47;48
49;39
45;47
52;43
48;39
53;48
59;63
38;71
41;48
54;68
63;43
38;43
49;54
51;51
51;63
42;54
45;53
53;38
53;61
48;55
54;51
39;52
51;52
45;54
56;55
43;43
57;70
53;63
51;56
58;58
52;44
74;58
51;43
45;57
66;56
65;58
57;69
46;58
47;54
54;61
55;54
52;47
58;47
67;57
60;47
63;59
58;80
55;71
47;60
49;47
62;65
55;48
56;58
48;59
76;73
62;58
70;69
57;61
70;59
50;56
76;60
68;58
53;62
61;77
70;63
64;63
56;52
56;66
64;53
75;69
72;65
58;60
88;65
49;61
64;70
65;74
64;69
72;55
50;62
69;55
66;69
79;74
74;50
56;67
55;71
92;64
70;55
82;76
72;50
68;71
60;70
51;73
72;65
67;56
78;60
82;73
94;72
66;81
67;66
57;53
74;56
75;83
76;65
52;68
75;67
68;80
58;56
76;85
60;78
60;57
70;76
60;70
80;68
69;62
82;77
60;80
59;57
52;61
71;82
80;62
79;76
66;87
63;82
62;62
85;87
72;59
83;73
77;84
61;63
63;73
85;78
84;71
83;75
64;83
79;55
83;73
80;84
91;87
66;74
82;75
89;87
74;72
89;81
86;69
65;78
85;80
86;89
88;97
85;88
91;91
89;68
78;87
91;65
85;95
94;70
101;75
82;95
73;67
101;88
89;81
97;103
97;90
82;77
90;84
86;78
92;104
73;69
107;96
100;94
