Count;Season;gameId;Result;X;Y
433;nhl05.json;556;lose;41.0;32.0
438;nhl05.json;561;lose;30.0;23.0
443;nhl05.json;566;lose;37.0;45.0
446;nhl05.json;569;lose;49.0;50.0
449;nhl05.json;572;lose;42.0;41.0
450;nhl05.json;573;lose;29.0;38.0
451;nhl05.json;574;lose;51.0;40.0
452;nhl05.json;575;lose;54.0;35.0
456;nhl05.json;579;lose;36.0;41.0
459;nhl05.json;582;lose;34.0;54.0
462;nhl05.json;585;lose;42.0;29.0
464;nhl05.json;587;lose;55.0;40.0
466;nhl05.json;589;lose;29.0;57.0
467;nhl05.json;590;lose;25.0;51.0
474;nhl05.json;597;lose;42.0;45.0
477;nhl05.json;600;lose;30.0;47.0
481;nhl05.json;604;lose;29.0;58.0
482;nhl05.json;605;lose;53.0;57.0
488;nhl05.json;611;lose;31.0;44.0
490;nhl05.json;613;lose;38.0;56.0
493;nhl05.json;616;lose;50.0;49.0
495;nhl05.json;618;lose;56.0;41.0
498;nhl05.json;621;lose;59.0;54.0
499;nhl05.json;622;lose;30.0;53.0
500;nhl05.json;623;lose;42.0;26.0
502;nhl05.json;625;lose;44.0;56.0
507;nhl05.json;630;lose;31.0;50.0
512;nhl05.json;635;lose;38.0;41.0
516;nhl05.json;639;lose;32.0;60.0
517;nhl05.json;640;lose;61.0;43.0
524;nhl05.json;647;lose;38.0;56.0
531;nhl05.json;654;lose;51.0;44.0
533;nhl05.json;656;lose;40.0;53.0
535;nhl05.json;658;lose;44.0;55.0
537;nhl05.json;660;lose;53.0;61.0
545;nhl05.json;668;lose;31.0;55.0
547;nhl05.json;670;lose;44.0;63.0
548;nhl05.json;671;lose;53.0;59.0
551;nhl05.json;674;lose;46.0;33.0
552;nhl05.json;675;lose;25.0;49.0
554;nhl05.json;677;lose;58.0;47.0
558;nhl05.json;681;lose;62.0;50.0
559;nhl05.json;682;lose;34.0;63.0
563;nhl05.json;686;lose;31.0;57.0
564;nhl05.json;687;lose;64.0;41.0
573;nhl05.json;696;lose;62.0;49.0
575;nhl05.json;698;lose;52.0;51.0
578;nhl05.json;701;lose;31.0;64.0
583;nhl05.json;706;lose;57.0;65.0
