match_id,team,teams,venue,venue_country,venue_location,competition,match_status,series_no,comp_match_no,captain,wicketkeeper,umpire1,umpire2,umpire3,umpire4,player1_of_match_team,player1_of_match,player2_of_match_team,player2_of_match,player3_of_match_team,player3_of_match,player4_of_match_team,player4_of_match,toss_winner,season_start_year,season_end_year,start_date,end_date,inns_per_side,overs_per_inns,days_for_match,winner,result_type,winning_margin,follow_on,reduced_balls,amended_target,amended_balls,innings,wickets,declared,runs,wides,noballs,byes,legbyes,penalties,time,team_batted,rest_days
20100919_00220_Kingsmd,Royal Challengers Bangalore,2,Durban (Kingsmead),South Africa,South Africa,Champions League Twenty20,ordinary,292,15,"Kumble, A {b1970-10-17}","Uthappa, RV {b1985-11-11}",Aleem Dar,"Tucker, RJ",NA,NA,Mumbai Indians,"Bravo, DJ {b1983-10-7}",NA,NA,NA,NA,NA,NA,Mumbai Indians,2010,2011,2010-09-19,2010-09-19,1,20,1,Mumbai Indians,runs,2,0,NA,NA,NA,1,5,0,163,4,0,2,2,0,91,1,0
20100920_00221_CnturPk,Wayamba,1,Centurion (Centurion Park),South Africa,South Africa,Champions League Twenty20,ordinary,292,16,"Mubarak, J {b1981-1-10}","Perera, MDKJ {b1990-8-17}",Asad Rauf,"Saheba, AM",NA,NA,Victoria,"Siddle, PM {b1984-11-25}",NA,NA,NA,NA,NA,NA,Wayamba,2010,2011,2010-09-20,2010-09-20,1,20,1,Victoria,wickets,8,0,NA,NA,NA,1,10,0,106,4,0,1,1,0,73,1,0
20100920_00221_CnturPk,Victoria,2,Centurion (Centurion Park),South Africa,South Africa,Champions League Twenty20,ordinary,292,16,"Hussey, DJ {b1977-7-15}","Wade, MS {b1987-12-26}",Asad Rauf,"Saheba, AM",NA,NA,Victoria,"Siddle, PM {b1984-11-25}",NA,NA,NA,NA,NA,NA,Wayamba,2010,2011,2010-09-20,2010-09-20,1,20,1,Victoria,wickets,8,0,NA,NA,NA,1,2,0,108,3,1,4,2,0,54,1,0
20100921_00222_Wandrer,South Australia,1,Johannesburg (Wanderers),South Africa,South Africa,Champions League Twenty20,ordinary,292,17,"Klinger, M {b1980-8-4}","Manou, GA {b1979-4-23}","Cloete, JD","Tarapore, SK",NA,NA,South Australia,"Ferguson, CJ {b1984-11-21}",NA,NA,NA,NA,NA,NA,Guyana,2010,2011,2010-09-21,2010-09-21,1,20,1,South Australia,runs,15,0,NA,NA,NA,1,6,0,191,3,2,0,5,0,82,1,0
20100921_00222_Wandrer,Guyana,2,Johannesburg (Wanderers),South Africa,South Africa,Champions League Twenty20,ordinary,292,17,"Sarwan, RR {b1980-6-23}","Christian, DO {b1983-5-9}","Cloete, JD","Tarapore, SK",NA,NA,South Australia,"Ferguson, CJ {b1984-11-21}",NA,NA,NA,NA,NA,NA,Guyana,2010,2011,2010-09-21,2010-09-21,1,20,1,South Australia,runs,15,0,NA,NA,NA,1,7,0,176,7,0,0,2,0,86,1,0
20100921_00223_Wandrer,Lions,1,Johannesburg (Wanderers),South Africa,South Africa,Champions League Twenty20,ordinary,292,18,"Petersen, AN {b1980-11-25}","Tsolekile, TL {b1980-10-9}",Aleem Dar,"Tucker, RJ",NA,NA,Royal Challengers Bangalore,"Kohli, V {b1988-11-5}",NA,NA,NA,NA,NA,NA,Lions,2010,2011,2010-09-21,2010-09-21,1,20,1,Royal Challengers Bangalore,wickets,6,0,NA,NA,NA,1,6,0,159,4,0,0,2,0,87,1,0
20100921_00223_Wandrer,Royal Challengers Bangalore,2,Johannesburg (Wanderers),South Africa,South Africa,Champions League Twenty20,ordinary,292,18,"Kumble, A {b1970-10-17}","Uthappa, RV {b1985-11-11}",Aleem Dar,"Tucker, RJ",NA,NA,Royal Challengers Bangalore,"Kohli, V {b1988-11-5}",NA,NA,NA,NA,NA,NA,Lions,2010,2011,2010-09-21,2010-09-21,1,20,1,Royal Challengers Bangalore,wickets,6,0,NA,NA,NA,1,4,0,160,1,1,0,1,0,77,1,0
20100922_00224_PrtElz,Wayamba,1,Port Elizabeth,South Africa,South Africa,Champions League Twenty20,ordinary,292,19,"Mubarak, J {b1981-1-10}","Perera, MDKJ {b1990-8-17}","de Silva, EAR","Oxenford, BNJ",NA,NA,Wayamba,"Udana, I {b1988-2-17}",NA,NA,NA,NA,NA,NA,Wayamba,2010,2011,2010-09-22,2010-09-22,1,20,1,Wayamba,runs,74,0,NA,NA,NA,1,6,0,144,12,1,3,9,0,80,1,0
20100922_00224_PrtElz,Central Districts,2,Port Elizabeth,South Africa,South Africa,Champions League Twenty20,ordinary,292,19,"How, JM {b1981-5-19}","Griggs, BBJ {b1978-3-29}","de Silva, EAR","Oxenford, BNJ",NA,NA,Wayamba,"Udana, I {b1988-2-17}",NA,NA,NA,NA,NA,NA,Wayamba,2010,2011,2010-09-22,2010-09-22,1,20,1,Wayamba,runs,74,0,NA,NA,NA,1,10,0,70,4,0,0,1,0,65,1,0
20100922_00225_PrtElz,Chennai Super Kings,1,Port Elizabeth,South Africa,South Africa,Champions League Twenty20,ordinary,292,20,"Dhoni, MS {b1981-7-7}","Dhoni, MS {b1981-7-7}","Jerling, BG","Koertzen, RE",NA,NA,Chennai Super Kings,"Hussey, MEK {b1975-5-27}",NA,NA,NA,NA,NA,NA,Chennai Super Kings,2010,2011,2010-09-22,2010-09-22,1,20,1,Chennai Super Kings,runs,10,0,NA,NA,NA,1,6,0,136,0,0,0,4,0,88,1,0
