match_id,teams,innings,retired,player,wickets,teamscore,playerruns,resumewickets,resumeruns
19990928_01505_NairobG,2,1,1,"Gibbs, HH {b1974-2-23}",0,125,48,NA,NA
19991003_01509_NairobG,2,1,1,"Prasad, MSK {b1975-4-24}",3,134,56,7,196
20000223_01568_Dunedin,1,1,1,"Waugh, SR {b1965-6-2}",3,270,43,NA,NA
20000328_01582_Sharjah,2,1,1,"Kirsten, G {b1967-11-23}",0,20,8,NA,NA
20000705_01603_Galle,1,1,1,Inzamam-ul-Haq {b1970-3-3},3,38,13,5,43
20001005_01632_NairobG,1,1,1,Javed Omar {b1976-11-25},1,36,14,4,96
20010203_01682_WelltnS,1,1,1,"Twose, RG {b1968-4-17}",3,62,11,NA,NA
20011031_01770_Sharjah,1,1,1,Inzamam-ul-Haq {b1970-3-3},2,98,9,7,227
20011215_01780_Kandy,1,1,1,"Lara, BC {b1969-5-2}",1,60,24,NA,NA
20020612_01842_DockSta,1,1,1,Imran Nazir {b1981-12-16},1,6,5,6,104
20020616_01845_ArnosVl,2,1,1,"Chanderpaul, S {b1974-8-16}",0,60,13,6,274
20020829_01867_NairobG,1,1,1,"Modi, HS {b1971-10-13}",4,101,34,7,107
20020902_01870_NairobG,1,1,1,"Suji, AO {b1976-2-5}",6,24,4,8,62
20020904_01871_NairobG,2,1,1,"Ponting, RT {b1974-12-19}",1,84,21,NA,NA
20020925_01886_ColmboR,2,1,1,"Gibbs, HH {b1974-2-23}",1,192,116,NA,NA
20030125_01941_MCG,1,1,1,"Bevan, MG {b1970-5-8}",3,78,10,NA,NA
20030228_01973_CapeTn,2,1,1,"Sarwan, RR {b1980-6-23}",2,62,10,7,169
20030307_01982_CnturPk,2,1,1,"Jayasuriya, ST {b1969-6-30}",0,6,1,NA,NA
20030418_02006_Dhaka,1,1,1,"Sehwag, V {b1978-10-20}",1,32,14,4,146
20030601_02021_QueenPk,1,1,1,"Ponting, RT {b1974-12-19}",2,23,1,8,246
20031005_02047_LahoreG,1,1,1,Inzamam-ul-Haq {b1970-3-3},2,56,9,6,225
20040120_02085_Gabba,2,1,1,"Vermeulen, MA {b1979-3-2}",0,28,14,NA,NA
20040922_02181_RoseBwl,2,1,1,"Lara, BC {b1969-5-2}",2,76,31,NA,NA
20041113_02192_Calcutt,2,1,1,Salman Butt {b1984-10-7},2,155,68,3,186
20050128_02213_Adlaide,1,1,1,"Sarwan, RR {b1980-6-23}",1,23,2,NA,NA
20050226_02230_Aucklnd,2,1,1,"Papps, MHW {b1979-7-2}",1,17,3,NA,NA
20050521_02247_GrosIsl,1,1,1,Inzamam-ul-Haq {b1970-3-3},4,153,33,5,186
20050807_02267_ColmboR,1,1,1,"Ganguly, SC {b1972-7-8}",0,6,2,NA,NA
20060412_02361_Jmshdpr,2,1,1,"Strauss, AJ {b1977-3-2}",2,159,74,0,0
20060804_02395_Harare,2,1,1,"Masakadza, H {b1983-8-9}",2,157,19,0,0
20061102_02442_Jaipur,2,1,1,"Chanderpaul, S {b1974-8-16}",0,154,57,NA,NA
20061126_02448_Potchef,2,1,1,"Jyoti, S {b1973-12-14}",2,76,24,6,218
20061202_02456_Benoni,1,1,1,"van Troost, LP {b1969-12-28}",6,51,0,NA,NA
20070118_02477_Mombasa,1,1,1,"Bagai, A {b1982-1-26}",2,148,63,5,290
20070124_02484_Mombasa,1,1,1,"Samad, AM {b1979-5-3}",2,113,50,5,188
20070202_02497_Sydney,2,1,1,"Symonds, A {b1975-6-9}",4,130,39,NA,NA
20070217_02525_VisakAD,2,1,1,"Ganguly, SC {b1972-7-8}",0,6,1,2,106
20070228_02530_St.John,2,1,1,"Samad, AM {b1979-5-3}",0,1,0,7,257
20070321_02546_PortSp,1,1,1,"Jayasuriya, ST {b1969-6-30}",1,137,83,3,283
20070322_02548_GrosIsl,2,1,1,"Dhaniram, Sn {b1968-10-17}",6,226,17,NA,NA
20070324_02552_Bsstrr,2,1,1,"Smith, GC {b1981-2-1}",1,184,72,5,264
20071202_02651_Harare,1,1,1,"Gayle, CH {b1979-9-21}",1,123,58,NA,NA
20080614_02707_Mirpur,1,1,1,Salman Butt {b1984-10-7},2,282,129,NA,NA
20080624_02712_KarachN,2,1,1,Tabarak Dar {b1976-5-3},0,27,15,5,76
20080624_02712_KarachN,2,1,2,Zain Abbas {b1986-4-16},5,92,26,NA,NA
20080626_02717_KarachN,1,1,1,Shoaib Malik {b1982-2-1},1,219,125,NA,NA
20080702_02730_KarachN,2,1,1,Nasir Jamshed {b1989-12-6},1,121,53,NA,NA
20080808_02740_Amstlvn,2,1,1,"de Grooth, TN {b1979-5-15}",1,54,16,NA,NA
20090308_02823_ChrChch,1,1,1,"Tendulkar, SR {b1973-4-24}",3,338,163,NA,NA
20090329_02829_Bridgtn,1,1,1,"Miller, NO {b1982-5-16}",7,203,7,9,225
20090408_02838_Benoni,1,1,1,"Davison, JM {b1970-5-9}",2,59,0,5,201
20091105_02922_ChitDiv,2,1,1,Tamim Iqbal {b1989-3-20},0,2,1,8,179
20100524_02980_NthSnd,2,1,1,"Sarwan, RR {b1980-6-23}",1,50,6,7,236
20100528_02982_Roseau,1,1,1,"Botha, J {b1982-5-2}",5,197,15,8,207
20100922_03047_RoseBwl,1,1,1,"Collingwood, PD {b1976-5-26}",3,59,5,4,106
20101009_03053_NairobG,2,1,1,Noor Ali Zadran {b1988-7-10},0,14,5,NA,NA
20101029_03062_AbDhab,2,1,1,"Smith, GC {b1981-2-1}",0,29,18,NA,NA
20101029_03062_AbDhab,2,1,2,"Kallis, JH {b1975-10-16}",2,188,66,NA,NA
20110313_03129_Wankhed,2,1,1,"Hansra, AS {b1984-12-29}",5,185,53,8,222
20110318_03136_Calcutt,1,1,1,"Barresi, W {b1984-3-3}",1,7,2,3,53
20110616_03163_Kingstn,2,1,1,"Sarwan, RR {b1980-6-23}",2,156,75,NA,NA
